image,xmin,ymin,xmax,ymax
d752dd27c0825856.jpg,400.823296,312.473668,482.011136,371.74852
d752dd27c0825856.jpg,449.096704,309.546302,490.056704,357.112574
d752dd27c0825856.jpg,501.76,238.56286999999998,537.6,272.9571
d752dd27c0825856.jpg,595.383296,237.099408,618.056704,258.321154
d752dd27c0825856.jpg,600.503296,261.24852,640.0,292.715384
d752dd27c0825856.jpg,610.011136,279.5429,656.091136,323.450296
d752dd27c0825856.jpg,618.788864,300.033136,672.914432,342.476628
752b26320254f878.jpg,20.149248,284.31129599999997,675.709952,762.241536
74a805524173e742.jpg,2.56,256.7651,208.0,469.9889
74a805524173e742.jpg,39.04,263.1683,172.8,334.2429
74a805524173e742.jpg,112.64,249.08137499999998,289.92,354.09247500000004
74a805524173e742.jpg,256.64,260.606675,351.36,368.1794
74a805524173e742.jpg,328.32,223.46857500000002,677.12,416.202825
74a805524173e742.jpg,618.88,250.36190000000002,977.28,391.871125
74a805524173e742.jpg,835.84,267.009875,998.4,384.18682500000006
9e95f92ff25178f7.jpg,562.56,405.524604,646.4,495.21434700000003
9e95f92ff25178f7.jpg,586.24,400.400079,717.44,524.04312
9e95f92ff25178f7.jpg,688.64,397.83747600000004,889.6,555.434496
a009e5db3a720100.jpg,0.0,0.0,1022.999552,681.000188
a009e5db3a720100.jpg,664.999936,0.0,883.999744,72.000104
90d65ccf472b68cd.jpg,44.000256,135.00032000000002,908.000256,705.99972
400639968765210f.jpg,477.73184,411.269134,848.62976,580.615433
5cf344c80e57c15e.jpg,5.76,0.0,234.24,56.383016
5cf344c80e57c15e.jpg,147.84,165.303758,503.04,329.966862
5cf344c80e57c15e.jpg,154.24,14.736408,417.92,136.471596
5cf344c80e57c15e.jpg,290.56,43.56857,563.2,158.896535
5cf344c80e57c15e.jpg,324.48,99.950903,601.6,203.746413
5cf344c80e57c15e.jpg,542.72,190.291996,831.36,322.918985
5cf344c80e57c15e.jpg,559.36,0.0,803.84,115.328648
5cf344c80e57c15e.jpg,561.92,415.18204,878.08,591.378282
5cf344c80e57c15e.jpg,720.64,99.950903,987.52,220.405466
5cf344c80e57c15e.jpg,851.84,143.519473,1023.36,262.692045
7f618df3ccf47525.jpg,11.52,13.440000000000001,982.4,766.08
1c5a071c55c0ab2c.jpg,172.16,428.799744,446.72,551.04
1c5a071c55c0ab2c.jpg,401.92,417.27974399999994,568.96,485.76
1c5a071c55c0ab2c.jpg,515.84,430.08000000000004,748.8,499.20000000000005
99241b90e3c88610.jpg,7.68,432.872468,21.76,444.398168
f0dc2d3b020c9886.jpg,90.246156,244.980736,659.412595,865.12128
f0dc2d3b020c9886.jpg,0.0,303.407104,103.578316,575.039488
e1742cb14c60c0cd.jpg,467.84,356.877062,638.08,501.037872
bd01651154569ee9.jpg,14.752768,67.691547,230.013952,241.94709
bd01651154569ee9.jpg,82.4832,175.595805,924.751872,615.925233
bd01651154569ee9.jpg,539.159552,83.106639,663.88992,176.265936
bd01651154569ee9.jpg,609.57184,160.180713,1003.882496,325.723167
bd01651154569ee9.jpg,736.985088,107.23412699999999,812.091392,142.75522800000002
bd01651154569ee9.jpg,855.68,85.78716299999999,1023.32928,262.72323
175c1a0c739dcfd7.jpg,81.28,75.519744,929.28,721.280256
175c1a0c739dcfd7.jpg,586.88,28.160255999999997,1023.36,394.23974400000003
0e2426e7b7708dcf.jpg,11.52,412.79999999999995,33.92,430.08000000000004
0e2426e7b7708dcf.jpg,52.48,412.79999999999995,86.4,444.800256
0e2426e7b7708dcf.jpg,77.44,424.959744,136.96,464.64
0e2426e7b7708dcf.jpg,208.64,426.24,252.16,449.91974400000004
0e2426e7b7708dcf.jpg,248.32,424.959744,570.88,505.599744
0e2426e7b7708dcf.jpg,613.12,426.24,796.8,510.72
0e2426e7b7708dcf.jpg,880.0,406.400256,1023.36,528.0
cdea573977a50456.jpg,0.0,178.56,261.12,212.480256
cdea573977a50456.jpg,0.0,145.280256,552.32,440.319744
cdea573977a50456.jpg,81.92,124.160256,941.44,652.160256
cdea573977a50456.jpg,427.52,159.35999999999999,478.72,183.03974399999998
cdea573977a50456.jpg,972.8,133.760256,1023.36,166.400256
f80502ab40aeddc5.jpg,511.36,406.06473600000004,742.4,495.091674
3225819df1b6712c.jpg,0.0,157.449243,94.08,206.09239200000002
3225819df1b6712c.jpg,0.0,152.328804,398.72,332.17954199999997
3225819df1b6712c.jpg,109.44,159.369663,915.2,599.075019
e7760b6c95bceba8.jpg,0.0,183.199824,1023.200256,398.399904
fd55afb1a2e5bb59.jpg,209.28,241.28025599999998,387.84,288.63974399999995
fd55afb1a2e5bb59.jpg,372.48,231.039744,438.4,270.71999999999997
fd55afb1a2e5bb59.jpg,410.24,236.16,515.84,268.79999999999995
15ac848d6b4b612b.jpg,107.52,222.32742800000003,952.32,501.037872
a430a3269e71b796.jpg,68.48,67.274817,917.76,546.528404
a430a3269e71b796.jpg,0.0,148.004734,115.2,260.770083
a430a3269e71b796.jpg,88.96,125.579795,347.52,188.36935100000002
